player,nation_x,pos_x,squad_x,born_x,mp,starts,min,gls_x,ast_x,pk_x,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,90s_x,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast_y,ppa,crs_pa,prog,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk_y,pk_att,league
Leandro Paredes,ar ARG,MF,Paris S-G,1994,16,14,1249,0,2,0,0,1,0,0,0.14,0.14,0,2018,13.9,28,17,13,13,2,16,37,43.2,21,192,60,31.3,71,99,22,24,5,0,19,11,39,19,2,1168,1303,89.6,22340,6694,492,517,95.2,522,554,94.2,144,210,68.6,2,9,0,114,14,1,7.1,1.01,0.07,0,0,28.3,4,0,0,French
Marquinhos,br BRA,"DF,MF",Paris S-G,1994,30,30,2693,3,2,0,0,2,1,0.1,0.07,0.17,0.1,2018,29.9,51,35,26,21,4,26,63,41.3,37,438,138,31.5,181,202,55,58,16,1,42,23,74,93,2,2093,2264,92.4,42667,14004,688,736,93.5,1074,1123,95.6,317,384,82.6,2,11,0,144,13,3,23.1,0.43,0.1,0.23,1,9.8,0,0,0,French
Moussa Diaby,fr FRA,"MF,FW",Paris S-G,1999,25,10,1141,2,6,0,0,1,0,0.16,0.47,0.63,0.16,2018,12.7,15,12,5,8,2,5,20,25,15,262,70,26.7,80,109,73,12,1,0,11,10,25,4,0,464,579,80.1,6730,1420,278,315,88.3,169,207,81.6,10,22,45.5,6,21,4,36,25,6,24,1.97,0.47,0.08,0.33,17.4,0,0,0,French
Neymar,br BRA,"MF,FW",Paris S-G,1992,17,16,1439,15,7,5,5,2,0,0.94,0.44,1.38,0.63,2018,16,17,10,2,13,2,4,26,15.4,22,211,54,25.6,14,104,93,14,0,0,14,4,21,1,0,829,1055,78.6,14286,5572,430,511,84.1,282,331,85.2,99,173,57.2,7,67,1,179,51,21,41.2,3.19,1.31,0.2,0.48,18.4,10,5,5,French
Presnel Kimpembe,fr FRA,DF,Paris S-G,1995,24,23,2005,0,1,0,0,4,1,0,0.04,0.04,0,2018,22.3,49,26,25,20,4,15,35,42.9,20,223,70,31.4,118,94,11,28,9,0,19,24,73,51,1,1366,1473,92.7,25321,8285,577,603,95.7,630,664,94.9,156,189,82.5,1,3,0,72,4,1,25,0.18,0.04,0,0,19.6,0,0,0,French
Thilo Kehrer,de GER,DF,Paris S-G,1996,27,19,1902,1,2,0,0,4,0,0.05,0.09,0.14,0.05,2018,21.1,71,44,39,27,5,24,54,44.4,30,332,101,30.4,153,141,38,47,19,1,28,18,89,72,1,1278,1390,91.9,23769,7490,479,509,94.1,665,714,93.1,127,145,87.6,2,8,2,71,14,4,28.6,0.66,0.19,0.07,0.25,11.3,0,0,0,French
Thomas Meunier,be BEL,"DF,MF",Paris S-G,1991,22,19,1610,3,3,0,0,2,0,0.17,0.17,0.34,0.17,2018,17.9,45,26,25,17,3,15,34,44.1,19,266,85,32,111,98,57,32,2,0,30,9,54,24,0,824,985,83.7,14676,4411,375,424,88.4,371,427,86.9,74,122,60.7,3,24,7,94,20,6,30,1.12,0.34,0.15,0.5,13.7,0,0,0,French
Abdou Diallo,fr FRA,DF,Paris S-G,1996,16,14,1201,0,1,0,0,4,0,0,0.07,0.07,0,2019,13.3,17,10,8,8,1,6,15,40,9,150,56,37.3,74,70,6,22,6,0,16,8,25,40,0,986,1061,92.9,19786,6924,337,352,95.7,490,515,95.1,149,174,85.6,1,5,1,72,5,2,40,0.37,0.15,0,0,6.3,0,0,0,French
Ander Herrera,es ESP,"MF,DF",Paris S-G,1989,8,6,547,1,1,0,0,0,0,0.16,0.16,0.33,0.16,2019,6.1,21,10,9,11,1,10,24,41.7,14,117,39,33.3,28,55,34,7,2,0,5,5,26,5,0,466,503,92.6,7483,1724,252,260,96.9,181,195,92.8,26,31,83.9,1,4,2,30,6,2,33.3,0.99,0.33,0.17,0.5,19.9,0,0,0,French
Edinson Cavani,uy URU,FW,Paris S-G,1987,14,7,605,4,1,1,1,2,0,0.6,0.15,0.74,0.45,2019,6.7,6,4,1,2,3,1,5,20,4,90,19,21.1,1,37,52,7,1,0,6,0,6,0,0,120,140,85.7,1823,296,64,73,87.7,42,45,93.3,7,13,53.8,1,6,2,11,28,10,35.7,4.17,1.49,0.11,0.3,9.8,1,1,1,French
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Paris S-G,1989,9,5,451,3,1,0,0,0,0,0.6,0.2,0.8,0.6,2019,5,10,4,4,2,4,4,7,57.1,3,83,24,28.9,7,23,53,3,0,0,3,3,13,3,0,92,112,82.1,1240,168,58,66,87.9,28,33,84.8,2,4,50,1,7,0,9,18,7,38.9,3.59,1.4,0.17,0.43,11.3,0,0,0,French
Idrissa Gana Gueye,sn SEN,MF,Paris S-G,1989,20,19,1653,1,2,0,0,2,0,0.05,0.11,0.16,0.05,2019,18.4,75,47,28,32,15,20,49,40.8,29,450,142,31.6,136,224,90,31,5,0,26,22,97,18,0,1468,1590,92.3,24184,6455,763,810,94.2,576,611,94.3,111,127,87.4,2,16,1,134,11,3,27.3,0.6,0.16,0.09,0.33,17.6,0,0,0,French
Juan Bernat,es ESP,"DF,MF",Paris S-G,1993,18,16,1388,0,4,0,0,5,0,0,0.26,0.26,0,2019,15.4,43,21,21,14,8,17,60,28.3,43,238,78,32.8,89,86,63,31,3,0,28,8,51,30,0,1011,1122,90.1,15051,3698,595,633,94,367,401,91.5,34,50,68,4,16,3,48,6,1,16.7,0.39,0.06,0,0,14.2,0,0,0,French
Julian Draxler,de GER,MF,Paris S-G,1993,11,7,686,0,4,0,0,5,0,0,0.52,0.52,0,2019,7.6,12,8,2,8,2,5,14,35.7,9,135,45,33.3,28,68,39,13,2,0,11,8,20,3,0,431,485,88.9,7215,1648,231,254,90.9,159,171,93,35,47,74.5,4,19,2,44,13,6,46.2,1.71,0.79,0,0,17.8,0,0,0,French
Layvin Kurzawa,fr FRA,DF,Paris S-G,1992,14,9,858,1,0,0,0,4,0,0.1,0,0.1,0.1,2019,9.5,22,9,6,12,4,6,21,28.6,15,142,44,31,47,63,32,23,1,0,22,14,36,25,1,605,671,90.2,8685,2974,352,376,93.6,208,225,92.4,25,39,64.1,0,8,2,36,6,3,50,0.63,0.31,0.17,0.33,9.4,0,0,0,French
Leandro Paredes,ar ARG,MF,Paris S-G,1994,17,8,814,0,0,0,0,2,0,0,0,0,0,2019,9,27,17,9,14,4,16,35,45.7,19,139,37,26.6,41,82,16,14,2,0,12,10,37,13,1,856,913,93.8,16287,4826,368,380,96.8,351,364,96.4,126,154,81.8,0,6,0,84,18,5,27.8,1.99,0.55,0,0,26.4,2,0,0,French
Marquinhos,br BRA,"MF,DF",Paris S-G,1994,19,15,1476,3,1,0,0,1,0,0.18,0.06,0.24,0.18,2019,16.4,43,25,16,22,5,16,36,44.4,20,293,108,36.9,81,167,45,34,10,1,24,11,54,44,2,1207,1294,93.3,24188,6825,408,428,95.3,589,612,96.2,186,221,84.2,1,14,0,83,11,3,27.3,0.67,0.18,0.27,1,8.2,0,0,0,French
Mauro Icardi,ar ARG,FW,Paris S-G,1993,20,14,1267,12,2,0,0,0,0,0.85,0.14,0.99,0.85,2019,14.1,6,4,1,4,1,0,13,0,13,217,56,25.8,13,86,118,10,2,0,8,3,9,10,0,149,178,83.7,2128,534,78,88,88.6,42,50,84,11,12,91.7,2,6,0,16,36,20,55.6,2.56,1.42,0.33,0.6,8.9,0,0,0,French
Neymar,br BRA,"MF,FW",Paris S-G,1992,15,15,1318,13,6,4,5,4,1,0.89,0.41,1.3,0.61,2019,14.6,14,7,3,8,3,5,27,18.5,22,170,49,28.8,16,88,66,10,0,0,10,6,20,1,0,759,961,79,12551,4478,417,475,87.8,221,274,80.7,91,159,57.2,6,71,6,149,64,31,48.4,4.37,2.12,0.14,0.29,16.7,10,4,5,French
Nianzou Kouassi,fr FRA,"DF,MF",Paris S-G,2002,6,4,452,2,0,0,0,1,0,0.4,0,0.4,0.4,2019,5,5,4,1,3,1,3,5,60,2,50,21,42,19,25,6,6,2,0,4,3,8,5,0,309,336,92,6252,1897,92,104,88.5,174,183,95.1,41,44,93.2,0,0,0,24,2,2,100,0.4,0.4,1,1,4.5,0,0,0,French
Pablo Sarabia,es ESP,"FW,MF",Paris S-G,1992,21,13,1164,4,3,0,0,1,0,0.31,0.23,0.54,0.31,2019,12.9,18,10,5,7,6,6,33,18.2,27,260,70,26.9,40,117,103,12,1,0,11,3,21,7,0,524,677,77.4,8099,2092,299,338,88.5,177,223,79.4,34,78,43.6,3,23,6,59,32,10,31.3,2.47,0.77,0.13,0.4,15,0,0,0,French
Presnel Kimpembe,fr FRA,DF,Paris S-G,1995,16,14,1225,0,0,0,0,6,0,0,0,0,0,2019,13.6,41,25,31,10,0,18,28,64.3,10,124,49,39.5,62,57,5,14,5,0,9,18,59,36,1,1061,1119,94.8,20133,5909,413,422,97.9,516,538,95.9,126,143,88.1,0,0,0,44,6,2,33.3,0.44,0.15,0,0,12.9,0,0,0,French
Thiago Silva,br BRA,DF,Paris S-G,1984,21,20,1571,0,0,0,0,1,0,0,0,0,0,2019,17.5,33,21,18,14,1,13,19,68.4,6,91,41,45.1,46,40,5,27,17,0,10,14,47,71,2,1440,1502,95.9,30319,9937,456,465,98.1,709,733,96.7,266,290,91.7,0,5,0,89,6,2,33.3,0.34,0.11,0,0,11,0,0,0,French
Thilo Kehrer,de GER,DF,Paris S-G,1996,7,5,480,1,0,0,0,0,0,0.19,0,0.19,0.19,2019,5.3,10,6,4,3,3,3,9,33.3,6,53,16,30.2,19,23,11,3,1,0,2,2,12,5,0,376,402,93.5,6697,1550,161,172,93.6,181,189,95.8,30,33,90.9,0,2,0,16,4,3,75,0.75,0.56,0.25,0.33,11.1,0,0,0,French
Thomas Meunier,be BEL,DF,Paris S-G,1991,16,14,1242,0,1,0,0,3,0,0,0.07,0.07,0,2019,13.8,28,16,8,14,6,15,32,46.9,17,186,58,31.2,76,68,42,30,5,0,25,11,39,25,0,772,925,83.5,14310,3483,335,381,87.9,331,380,87.1,95,129,73.6,1,18,9,55,4,2,50,0.29,0.14,0,0,16.4,0,0,0,French
Alessandro Florenzi,it ITA,DF,Paris S-G,1991,5,5,417,2,0,0,0,1,0,0.43,0,0.43,0.43,2020,4.6,8,5,2,4,2,2,6,33.3,4,53,16,30.2,14,19,20,6,1,0,5,3,11,2,0,228,269,84.8,3940,1189,117,126,92.9,82,99,82.8,26,39,66.7,0,13,9,20,8,4,50,1.73,0.86,0.25,0.5,15,0,0,0,French
Ander Herrera,es ESP,MF,Paris S-G,1989,9,4,560,1,0,0,0,0,0,0.16,0,0.16,0.16,2020,6.2,17,10,5,9,3,6,21,28.6,15,144,36,25,31,71,42,17,2,0,15,4,21,5,0,470,517,90.9,7408,1807,256,271,94.5,167,182,91.8,30,42,71.4,0,6,0,39,11,3,27.3,1.77,0.48,0.09,0.33,16,1,0,0,French
Idrissa Gana Gueye,sn SEN,MF,Paris S-G,1989,7,6,467,1,0,0,0,1,0,0.19,0,0.19,0.19,2020,5.2,21,14,8,8,5,3,13,23.1,10,101,47,46.5,32,46,23,5,0,0,5,2,23,7,0,495,541,91.5,8260,2226,236,252,93.7,206,223,92.4,40,47,85.1,0,3,1,40,7,3,42.9,1.35,0.58,0.14,0.33,20.3,0,0,0,French
Julian Draxler,de GER,MF,Paris S-G,1993,6,5,398,2,0,0,0,2,0,0.45,0,0.45,0.45,2020,4.4,7,3,3,4,0,2,8,25,6,44,12,27.3,12,23,9,3,0,0,3,1,8,2,0,211,243,86.8,3700,707,106,118,89.8,77,88,87.5,25,33,75.8,0,8,0,23,6,3,50,1.36,0.68,0.33,0.67,14.6,0,0,0,French
Leandro Paredes,ar ARG,MF,Paris S-G,1994,4,3,159,0,0,0,0,2,1,0,0,0,0,2020,1.8,3,2,2,1,0,2,5,40,3,21,9,42.9,5,10,6,2,0,0,2,2,5,3,1,165,188,87.8,2845,653,76,82,92.7,79,86,91.9,9,15,60,0,1,0,14,4,1,25,2.26,0.57,0,0,27,0,0,0,French
Marco Verratti,it ITA,MF,Paris S-G,1992,5,4,354,0,0,0,0,1,0,0,0,0,0,2020,3.9,12,9,9,3,0,4,16,25,12,66,21,31.8,31,20,15,7,0,0,7,1,13,0,0,467,504,92.7,7557,2514,249,258,96.5,164,170,96.5,43,60,71.7,0,11,0,48,4,2,50,1.02,0.51,0,0,21.4,0,0,0,French
Marquinhos,br BRA,"DF,MF",Paris S-G,1994,6,5,457,1,0,0,0,1,0,0.2,0,0.2,0.2,2020,5.1,5,5,3,1,1,1,11,9.1,10,66,22,33.3,17,36,13,4,3,0,1,3,8,17,1,327,352,92.9,6418,1910,124,128,96.9,153,163,93.9,48,59,81.4,0,1,0,18,4,3,75,0.79,0.59,0.25,0.33,9.6,0,0,0,French
Mauro Icardi,ar ARG,FW,Paris S-G,1993,4,4,347,2,0,0,0,0,0,0.52,0,0.52,0.52,2020,3.9,3,2,1,2,0,2,4,50,2,65,11,16.9,2,23,40,2,2,0,0,0,3,0,0,35,45,77.8,553,168,20,21,95.2,11,16,68.8,3,3,100,0,2,0,6,12,5,41.7,3.11,1.3,0.17,0.4,8.4,0,0,0,French
Moise Kean,it ITA,FW,Paris S-G,2000,3,3,207,2,0,0,0,0,0,0.87,0,0.87,0.87,2020,2.3,2,2,0,1,1,2,4,50,2,23,7,30.4,0,5,18,0,0,0,0,0,2,0,0,19,22,86.4,223,40,15,17,88.2,3,3,100,0,1,0,0,1,0,2,8,3,37.5,3.48,1.3,0.25,0.67,10.3,0,0,0,French
Moise Kean,it ITA,FW,Paris S-G,2000,3,3,207,2,0,0,0,0,0,0.87,0,0.87,0.87,2020,2.3,2,2,0,1,1,2,4,50,2,23,7,30.4,0,5,18,0,0,0,0,0,2,0,0,7,9,77.8,124,0,2,3,66.7,4,4,100,1,1,100,0,0,0,0,8,3,37.5,3.48,1.3,0.25,0.67,10.3,0,0,0,French
Neymar,br BRA,"FW,MF",Paris S-G,1992,4,4,359,2,3,0,0,1,1,0.5,0.75,1.25,0.5,2020,4,3,2,0,1,2,1,6,16.7,5,39,15,38.5,4,15,20,5,0,0,5,1,4,0,0,206,261,78.9,3539,1265,114,127,89.8,65,80,81.3,23,43,53.5,3,14,2,33,22,6,27.3,5.52,1.5,0.09,0.33,16.7,8,0,0,French
Pablo Sarabia,es ESP,FW,Paris S-G,1992,9,6,552,2,4,0,0,1,0,0.33,0.65,0.98,0.33,2020,6.1,4,1,2,1,1,1,10,10,9,91,24,26.4,14,35,42,12,0,0,12,0,4,1,0,198,255,77.6,3275,884,109,130,83.8,62,74,83.8,20,33,60.6,4,14,7,25,18,7,38.9,2.93,1.14,0.11,0.29,13.8,1,0,0,French
